match_id,comp_a,comp_b,a_1,a_2,a_3,b_1,b_2,b_3,score_a,score_b,win_prob_a,label
0,"(1, 8, 17)","(2, 6, 13)",1,8,17,2,6,13,26,21,0.6051925,1.0
1,"(8, 11, 19)","(1, 4, 8)",8,11,19,1,4,8,38,13,0.8952263,1.0
2,"(6, 12, 19)","(6, 9, 15)",6,12,19,6,9,15,37,30,0.6033495,0.0
3,"(4, 7, 19)","(7, 8, 11)",4,7,19,7,8,11,30,26,0.57106596,1.0
4,"(4, 7, 12)","(8, 11, 17)",4,7,12,8,11,17,23,36,0.28986302,0.0
5,"(10, 11, 15)","(12, 19, 20)",10,11,15,12,19,20,36,51,0.33256352,0.0
6,"(1, 8, 13)","(4, 15, 17)",1,8,13,4,15,17,22,36,0.2719101,1.0
7,"(7, 9, 16)","(9, 12, 19)",7,9,16,9,12,19,32,40,0.3902439,1.0
8,"(2, 6, 17)","(7, 11, 19)",2,6,17,7,11,19,25,37,0.31344032,1.0
9,"(1, 9, 12)","(2, 16, 19)",1,9,12,2,16,19,22,37,0.26119804,0.0
10,"(5, 7, 14)","(9, 15, 19)",5,7,14,9,15,19,26,43,0.2677228,0.0
11,"(14, 16, 19)","(1, 5, 15)",14,16,19,1,5,15,49,21,0.8448276,1.0
12,"(7, 14, 20)","(5, 18, 19)",7,14,20,5,18,19,41,42,0.48795354,0.0
13,"(8, 10, 13)","(12, 15, 19)",8,10,13,12,15,19,31,46,0.3123172,1.0
14,"(7, 11, 20)","(6, 13, 17)",7,11,20,6,13,17,38,36,0.5270073,1.0
15,"(8, 13, 18)","(12, 14, 20)",8,13,18,12,14,20,39,46,0.4182018,0.0
16,"(5, 6, 12)","(1, 5, 19)",5,6,12,1,5,19,23,25,0.45840555,0.0
17,"(1, 13, 17)","(5, 7, 20)",1,13,17,5,7,20,31,32,0.48413098,0.0
18,"(9, 14, 18)","(8, 12, 18)",9,14,18,8,12,18,41,38,0.53792,0.0
19,"(4, 8, 20)","(6, 11, 13)",4,8,20,6,11,13,32,30,0.53222454,1.0
20,"(4, 16, 17)","(10, 14, 19)",4,16,17,10,14,19,37,43,0.4254195,1.0
21,"(3, 11, 19)","(4, 10, 13)",3,11,19,4,10,13,33,27,0.5990099,0.0
22,"(2, 5, 10)","(7, 8, 11)",2,5,10,7,8,11,17,26,0.29948187,1.0
23,"(12, 13, 14)","(4, 6, 10)",12,13,14,4,6,10,39,20,0.7917751,1.0
24,"(8, 12, 19)","(10, 13, 16)",8,12,19,10,13,16,39,39,0.5,1.0
25,"(6, 11, 15)","(1, 12, 14)",6,11,15,1,12,14,32,27,0.5841415,0.0
26,"(3, 18, 20)","(2, 12, 14)",3,18,20,2,12,14,41,28,0.6819473,1.0
27,"(9, 11, 19)","(1, 9, 15)",9,11,19,1,9,15,39,25,0.7087605,1.0
28,"(5, 9, 12)","(7, 10, 12)",5,9,12,7,10,12,26,29,0.44561633,1.0
29,"(4, 8, 12)","(2, 9, 17)",4,8,12,2,9,17,24,28,0.42352942,0.0
30,"(4, 8, 20)","(3, 6, 13)",4,8,20,3,6,13,32,22,0.6790451,1.0
31,"(2, 9, 11)","(9, 13, 20)",2,9,11,9,13,20,22,42,0.2153025,1.0
32,"(1, 9, 10)","(3, 10, 16)",1,9,10,3,10,16,20,29,0.3223207,0.0
33,"(5, 10, 13)","(1, 17, 19)",5,10,13,1,17,19,28,37,0.36414304,0.0
34,"(10, 16, 19)","(1, 3, 9)",10,16,19,1,3,9,45,13,0.9229717,1.0
35,"(1, 6, 13)","(2, 9, 10)",1,6,13,2,9,10,20,21,0.47562426,0.0
36,"(10, 11, 15)","(11, 15, 17)",10,11,15,11,15,17,36,43,0.41208267,1.0
37,"(9, 12, 17)","(5, 9, 16)",9,12,17,5,9,16,38,30,0.61604095,1.0
