fold,method,accuracy,silhouette_score,davies_bouldin_index,calinski_harabasz_index,used_codes,utilization_ratio
1,NRT,0.64975,,,,,
1,NCT (M=3),0.64975,,,,1.0,0.3333333333333333
1,NCT (M=9),0.6502,0.5503162741661072,0.6118950850194376,40827.47265625,2.0,0.2222222222222222
1,NCT (M=27),0.65175,0.06268831342458725,0.8102205222827237,12227.498046875,4.0,0.14814814814814814
1,NCT (M=81),0.6535,0.19803032279014587,1.038852448122614,19645.37890625,4.0,0.04938271604938271
2,NRT,0.65625,,,,,
2,NCT (M=3),0.6559,0.38859546184539795,0.5171521879253005,5917.61279296875,2.0,0.6666666666666666
2,NCT (M=9),0.65625,0.2634698152542114,0.5354068763065349,2126.182373046875,2.0,0.2222222222222222
2,NCT (M=27),0.65495,0.30345380306243896,0.7702527039332603,29194.525390625,3.0,0.1111111111111111
2,NCT (M=81),0.6563,0.2643680274486542,0.6865893000757509,24941.23046875,3.0,0.037037037037037035
3,NRT,0.6548,,,,,
3,NCT (M=3),0.6548,,,,1.0,0.3333333333333333
3,NCT (M=9),0.6526,0.4449959993362427,0.5984074757831457,22353.220703125,2.0,0.2222222222222222
3,NCT (M=27),0.65515,0.07682386785745621,0.8933905148492354,16536.359375,3.0,0.1111111111111111
3,NCT (M=81),0.65365,0.09789220988750458,0.8541993728182821,15908.109375,3.0,0.037037037037037035
4,NRT,0.658,,,,,
4,NCT (M=3),0.658,,,,1.0,0.3333333333333333
4,NCT (M=9),0.65675,0.5279303193092346,0.6099675176548348,36354.5078125,2.0,0.2222222222222222
4,NCT (M=27),0.65555,0.5255411863327026,0.6414179494620259,36422.2109375,2.0,0.07407407407407407
4,NCT (M=81),0.65725,0.2154218703508377,1.0304871384133019,22150.787109375,4.0,0.04938271604938271
5,NRT,0.65815,,,,,
5,NCT (M=3),0.65815,,,,1.0,0.3333333333333333
5,NCT (M=9),0.65815,,,,1.0,0.1111111111111111
5,NCT (M=27),0.6603,0.2540038228034973,0.8075881004747423,18991.3046875,3.0,0.1111111111111111
5,NCT (M=81),0.65945,0.1099221333861351,1.4906392264405488,8865.28515625,6.0,0.07407407407407407
